strategy,member_count,macro_ap,micro_ap,members,anchor_weight
top_k,5,0.6103273630142212,0.7075385409927727,"[""C:\\Development\\Private\\mlpc_task_4\\results\\mlp_refine_candidates\\mlp_01_512-256_d0.45_lr0.001_s42.pt"", ""C:\\Development\\Private\\mlpc_task_4\\results\\mlp_refine_candidates\\mlp_08_512-256_d0.45_lr0.001_s42.pt"", ""C:\\Development\\Private\\mlpc_task_4\\results\\mlp_best_torch_cuda.pt"", ""C:\\Development\\Private\\mlpc_task_4\\results\\mlp_refine_candidates\\mlp_09_768-384_d0.45_lr0.001_s42.pt"", ""C:\\Development\\Private\\mlpc_task_4\\results\\mlp_refine_candidates\\mlp_05_1024-512_d0.4_lr0.0007_s42.pt""]",
pair_weighted,2,0.6096755862236023,0.709203244863888,"[""C:\\Development\\Private\\mlpc_task_4\\results\\mlp_refine_candidates\\mlp_01_512-256_d0.45_lr0.001_s42.pt"", ""C:\\Development\\Private\\mlpc_task_4\\results\\mlp_refine_candidates\\mlp_09_1024-512_d0.4_lr0.001_s7.pt""]",0.5
pair_weighted,2,0.6096411347389221,0.7085833501494464,"[""C:\\Development\\Private\\mlpc_task_4\\results\\mlp_refine_candidates\\mlp_01_512-256_d0.45_lr0.001_s42.pt"", ""C:\\Development\\Private\\mlpc_task_4\\results\\mlp_refine_candidates\\mlp_09_1024-512_d0.4_lr0.001_s7.pt""]",0.6
pair_weighted,2,0.6091874837875366,0.7068423795035144,"[""C:\\Development\\Private\\mlpc_task_4\\results\\mlp_refine_candidates\\mlp_01_512-256_d0.45_lr0.001_s42.pt"", ""C:\\Development\\Private\\mlpc_task_4\\results\\mlp_refine_candidates\\mlp_11_1536-768_d0.4_lr0.001_s42.pt""]",0.6
pair_weighted,2,0.6091490983963013,0.7060658618814475,"[""C:\\Development\\Private\\mlpc_task_4\\results\\mlp_refine_candidates\\mlp_01_512-256_d0.45_lr0.001_s42.pt"", ""C:\\Development\\Private\\mlpc_task_4\\results\\mlp_refine_candidates\\mlp_02_1024-512_d0.35_lr0.001_s42.pt""]",0.8
pair_weighted,2,0.6091203689575195,0.7091385413990087,"[""C:\\Development\\Private\\mlpc_task_4\\results\\mlp_refine_candidates\\mlp_01_512-256_d0.45_lr0.001_s42.pt"", ""C:\\Development\\Private\\mlpc_task_4\\results\\mlp_refine_candidates\\mlp_09_1024-512_d0.4_lr0.001_s7.pt""]",0.4
pair_weighted,2,0.6090770959854126,0.7090109997274763,"[""C:\\Development\\Private\\mlpc_task_4\\results\\mlp_refine_candidates\\mlp_01_512-256_d0.45_lr0.001_s42.pt"", ""C:\\Development\\Private\\mlpc_task_4\\results\\mlp_refine_candidates\\mlp_02_1024-512_d0.35_lr0.001_s42.pt""]",0.30000000000000004
pair_weighted,2,0.6090736389160156,0.7072115918593432,"[""C:\\Development\\Private\\mlpc_task_4\\results\\mlp_refine_candidates\\mlp_01_512-256_d0.45_lr0.001_s42.pt"", ""C:\\Development\\Private\\mlpc_task_4\\results\\mlp_refine_candidates\\mlp_09_1024-512_d0.4_lr0.001_s7.pt""]",0.7000000000000001
pair_weighted,2,0.6090007424354553,0.7070530338115344,"[""C:\\Development\\Private\\mlpc_task_4\\results\\mlp_refine_candidates\\mlp_01_512-256_d0.45_lr0.001_s42.pt"", ""C:\\Development\\Private\\mlpc_task_4\\results\\mlp_refine_candidates\\mlp_11_1536-768_d0.4_lr0.001_s42.pt""]",0.5
pair_weighted,2,0.6085736751556396,0.7059030798542542,"[""C:\\Development\\Private\\mlpc_task_4\\results\\mlp_refine_candidates\\mlp_01_512-256_d0.45_lr0.001_s42.pt"", ""C:\\Development\\Private\\mlpc_task_4\\results\\mlp_refine_candidates\\mlp_11_1536-768_d0.4_lr0.001_s42.pt""]",0.7000000000000001
